bookworm,libtpms-dev,0.9.2-3.1~deb12u1,2023-03-10
bookworm,libtpms0,0.9.2-3.1~deb12u1,2023-03-10
bookworm,python3-cryptography,38.0.4-3~deb12u1,2023-03-09
bullseye,aide,0.17.3-4+deb11u1,2022-01-18
bullseye,aide-common,0.17.3-4+deb11u1,2022-01-18
bullseye,aide-dynamic,0.17.3-4+deb11u1,2022-01-18
bullseye,aide-xen,0.17.3-4+deb11u1,2022-01-18
bullseye,liblog4j2-java,2.17.0-1~deb11u1,2021-12-18
bullseye,apache2,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-bin,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-data,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-dev,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-doc,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-ssl-dev,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-suexec-custom,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-suexec-pristine,2.4.56-1~deb11u1,2023-03-09
bullseye,apache2-utils,2.4.56-1~deb11u1,2023-03-09
bullseye,libapache2-mod-md,2.4.56-1~deb11u1,2023-03-09
bullseye,libapache2-mod-proxy-uwsgi,2.4.56-1~deb11u1,2023-03-09
bullseye,libapr1,1.7.0-6+deb11u2,2023-03-01
bullseye,libapr1-dev,1.7.0-6+deb11u2,2023-03-01
bullseye,libaprutil1,1.6.1-5+deb11u1,2023-02-18
bullseye,libaprutil1-dbd-mysql,1.6.1-5+deb11u1,2023-02-18
bullseye,libaprutil1-dbd-odbc,1.6.1-5+deb11u1,2023-02-18
bullseye,libaprutil1-dbd-pgsql,1.6.1-5+deb11u1,2023-02-18
bullseye,libaprutil1-dbd-sqlite3,1.6.1-5+deb11u1,2023-02-18
bullseye,libaprutil1-dev,1.6.1-5+deb11u1,2023-02-18
bullseye,libaprutil1-ldap,1.6.1-5+deb11u1,2023-02-18
bullseye,asterisk,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-config,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-dahdi,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-dev,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-doc,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-mobile,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-modules,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-mp3,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-mysql,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-ooh323,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-tests,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-voicemail,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-voicemail-imapstorage,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-voicemail-odbcstorage,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,asterisk-vpb,1:16.28.0~dfsg-0+deb11u2,2023-02-22
bullseye,barbican-api,1:11.0.0-3+deb11u1,2022-10-04
bullseye,barbican-common,1:11.0.0-3+deb11u1,2022-10-04
bullseye,barbican-doc,1:11.0.0-3+deb11u1,2022-10-04
bullseye,barbican-keystone-listener,1:11.0.0-3+deb11u1,2022-10-04
bullseye,barbican-worker,1:11.0.0-3+deb11u1,2022-10-04
bullseye,python3-barbican,1:11.0.0-3+deb11u1,2022-10-04
bullseye,libbatik-java,1.12-4+deb11u1,2022-10-29
bullseye,libbcel-java,6.5.0-1+deb11u1,2022-10-18
bullseye,libbcel-java-doc,6.5.0-1+deb11u1,2022-10-18
bullseye,bind9,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9-dev,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9-dnsutils,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9-doc,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9-host,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9-libs,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9-utils,1:9.16.37-1~deb11u1,2023-01-25
bullseye,bind9utils,1:9.16.37-1~deb11u1,2023-01-25
bullseye,dnsutils,1:9.16.37-1~deb11u1,2023-01-25
bullseye,blender,2.83.5+dfsg-5+deb11u1,2022-07-03
bullseye,blender-data,2.83.5+dfsg-5+deb11u1,2022-07-03
bullseye,booth,1.0-237-gdd88847-2+deb11u1,2022-07-28
bullseye,booth-pacemaker,1.0-237-gdd88847-2+deb11u1,2022-07-28
bullseye,libc-ares-dev,1.17.1-1+deb11u1,2021-08-07
bullseye,libc-ares2,1.17.1-1+deb11u1,2021-08-07
bullseye,cacti,1.2.16+ds1-2+deb11u1,2022-12-08
bullseye,octorpki,1.4.2-1~deb11u1,2021-12-26
bullseye,chromium,111.0.5563.110-1~deb11u1,2023-03-23
bullseye,chromium-common,111.0.5563.110-1~deb11u1,2023-03-23
bullseye,chromium-driver,111.0.5563.110-1~deb11u1,2023-03-23
bullseye,chromium-l10n,111.0.5563.110-1~deb11u1,2023-03-23
bullseye,chromium-sandbox,111.0.5563.110-1~deb11u1,2023-03-23
bullseye,chromium-shell,111.0.5563.110-1~deb11u1,2023-03-23
bullseye,cifs-utils,2:6.11-3.1+deb11u1,2022-05-10
bullseye,cinder-api,2:17.0.1-1+deb11u1,2023-01-30
bullseye,cinder-backup,2:17.0.1-1+deb11u1,2023-01-30
bullseye,cinder-common,2:17.0.1-1+deb11u1,2023-01-30
bullseye,cinder-doc,2:17.0.1-1+deb11u1,2023-01-30
bullseye,cinder-scheduler,2:17.0.1-1+deb11u1,2023-01-30
bullseye,cinder-volume,2:17.0.1-1+deb11u1,2023-01-30
bullseye,python3-cinder,2:17.0.1-1+deb11u1,2023-01-30
bullseye,libcommons-configuration2-java,2.8.0-1~deb11u1,2022-11-28
bullseye,libcommons-configuration2-java-doc,2.8.0-1~deb11u1,2022-11-28
bullseye,connman,1.36-2.2+deb11u1,2022-09-03
bullseye,connman-dev,1.36-2.2+deb11u1,2022-09-03
bullseye,connman-doc,1.36-2.2+deb11u1,2022-09-03
bullseye,connman-vpn,1.36-2.2+deb11u1,2022-09-03
bullseye,containerd,1.4.13~ds1-1~deb11u2,2022-06-07
bullseye,golang-github-containerd-containerd-dev,1.4.13~ds1-1~deb11u2,2022-06-07
bullseye,cryptsetup,2:2.3.7-1+deb11u1,2022-02-09
bullseye,cryptsetup-bin,2:2.3.7-1+deb11u1,2022-02-09
bullseye,cryptsetup-initramfs,2:2.3.7-1+deb11u1,2022-02-09
bullseye,cryptsetup-run,2:2.3.7-1+deb11u1,2022-02-09
bullseye,libcryptsetup-dev,2:2.3.7-1+deb11u1,2022-02-09
bullseye,libcryptsetup12,2:2.3.7-1+deb11u1,2022-02-09
bullseye,cups,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-bsd,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-client,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-common,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-core-drivers,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-daemon,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-ipp-utils,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-ppdc,2.3.3op2-3+deb11u2,2022-05-25
bullseye,cups-server-common,2.3.3op2-3+deb11u2,2022-05-25
bullseye,libcups2,2.3.3op2-3+deb11u2,2022-05-25
bullseye,libcups2-dev,2.3.3op2-3+deb11u2,2022-05-25
bullseye,libcupsimage2,2.3.3op2-3+deb11u2,2022-05-25
bullseye,libcupsimage2-dev,2.3.3op2-3+deb11u2,2022-05-25
bullseye,curl,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl3-gnutls,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl3-nss,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl4,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl4-doc,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl4-gnutls-dev,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl4-nss-dev,7.74.0-1.3+deb11u7,2023-02-23
bullseye,libcurl4-openssl-dev,7.74.0-1.3+deb11u7,2023-02-23
bullseye,cyrus-sasl2-doc,2.1.27+dfsg-2.1+deb11u1,2022-02-25
bullseye,libsasl2-2,2.1.27+dfsg-2.1+deb11u1,2022-02-25
bullseye,libsasl2-dev,2.1.27+dfsg-2.1+deb11u1,2022-02-25
bullseye,libsasl2-modules,2.1.27+dfsg-2.1+deb11u1,2022-02-25
bullseye,libsasl2-modules-db,2.1.27+dfsg-2.1+deb11u1,2022-02-25
